trial,reward,learning_rate,n_steps,gamma,ent_coef
0,12.058353831370672,0.000828298138945164,11,0.9613639484449366,0.03090274560312627
1,14.177777836720148,0.00033682346153063655,19,0.8122971147170533,0.044674949441079276
2,11.60000009338061,5.714099220307578e-05,7,0.8962071338325035,0.006888483715142194
3,13.266666774948439,2.48562975718432e-05,9,0.8570214232079537,0.01292850533103928
4,13.266666774948439,9.428439152697166e-05,13,0.931383563751449,0.03416418844115572
5,12.05826136469841,0.00016272330470252708,6,0.9945426462834034,0.00377982761251161
6,14.933333456516266,1.0639336676575226e-05,8,0.9834523981284211,0.026627036919463713
7,13.266666774948439,1.4138076064763896e-05,14,0.8226153589743744,0.023614752184693083
8,12.056966662406921,0.00036112805831006343,13,0.9938364682765659,0.010471345257970346
9,14.933333456516266,6.1073980412437e-05,9,0.8907972894017442,0.011156558771320444
10,14.933333456516266,1.2475142680515011e-05,5,0.93973610699314,0.047349020530723804
11,13.266666774948439,4.295247755124413e-05,9,0.8840881883902622,0.02033228709770881
12,14.933333456516266,2.998860185389903e-05,9,0.8616917900121326,0.01862834954579224
13,11.60000009338061,1.0716191665367063e-05,18,0.9205999085089518,0.031702686886418474
14,12.06103570262591,9.616357615537092e-05,11,0.9641626924871369,0.01640104422274279
15,13.266666774948439,2.154958926970745e-05,16,0.8682755575785341,0.03821467563905068
16,12.44302990535895,0.00018271041644541314,7,0.9109516092964464,0.0246841446381857
17,14.933333456516266,5.297788702622817e-05,11,0.8382256289448152,0.00045921650278037823
18,14.933333456516266,0.0008809660007609834,8,0.9586918984985783,0.02800766455285298
19,13.266666774948439,1.973873533330931e-05,5,0.8849857025816608,0.012307886182399818
